row number,Stopnie zaawansowania projektu,Przydzial,Status,start row,end row,duration row,,period/symbol,start period/symbol,type period/symbol,legend,comment period/symbol,end period,duration period,label period
1,Wstepne zalozenia projektu,,Ok,10/8/2018 1:00:00 PM,10/15/2018 1:00:00 PM,5,,period:,10/8/2018 1:00:00 PM,#bcca26,Zadanie okoloprojektowe,,10/15/2018 1:00:00 PM,5,Glówne zalozenia
1,Wstepne zalozenia projektu,,Ok,,,,,symbol:,10/15/2018 1:00:00 PM,89,Kamienie milowe,,,,
1.1,Wymyslenie czego bedzie dotyczyl projekt,Piotr,Ok,10/10/2018 9:00:00 AM,10/11/2018 5:00:00 PM,2,,period:,10/10/2018 9:00:00 AM,#5fb5d5,Zadania dla calego zespolu,,10/11/2018 5:00:00 PM,2,
1.2,Rozwiniecie pomyslu,"Piotr, Patrycja",Ok,10/11/2018 1:00:00 PM,10/15/2018 1:00:00 PM,2,,period:,10/11/2018 1:00:00 PM,#2775ac, ,,10/15/2018 1:00:00 PM,2,
2,Pelna specyfikacja projektu,,Ok,10/15/2018 1:00:00 PM,10/29/2018 1:00:00 PM,10,,period:,10/15/2018 1:00:00 PM,#bcca26,Zadanie okoloprojektowe,,10/29/2018 1:00:00 PM,10,Pelna specyfikacja
2,Pelna specyfikacja projektu,,Ok,,,,,symbol:,10/29/2018 1:00:00 PM,89,Kamienie milowe,,,,
2.1,Wybór platformy,"Piotr, Patrycja",Ok,10/18/2018 9:00:00 AM,10/24/2018 1:00:00 PM,4.5,,period:,10/18/2018 9:00:00 AM,#5fb5d5,Zadania dla calego zespolu,,10/24/2018 1:00:00 PM,4.5,
2.2,Sposób dzialania systemu,"Piotr, Patrycja",Ok,10/23/2018 9:00:00 AM,10/29/2018 1:00:00 PM,4.5,,period:,10/23/2018 9:00:00 AM,#2775ac, ,,10/29/2018 1:00:00 PM,4.5,
2.3,Stworzenie specyfikacji projektu,"Piotr, Patrycja",Ok,10/25/2018 9:00:00 AM,10/29/2018 1:00:00 PM,2.5,,period:,10/25/2018 9:00:00 AM,#5fb5d5,Zadania dla calego zespolu,,10/29/2018 1:00:00 PM,2.5,
3,Projekt systemu,"Piotr, Patrycja",Ok,10/29/2018 1:00:00 PM,11/5/2018 1:00:00 PM,5,,period:,10/29/2018 1:00:00 PM,#bcca26,Zadanie okoloprojektowe,,11/5/2018 1:00:00 PM,5,Projekt systemu
3,Projekt systemu,"Piotr, Patrycja",Ok,,,,,symbol:,11/5/2018 1:00:00 PM,89,Kamienie milowe,,,,
4,Implementacja projektu,,,11/5/2018 1:00:00 PM,12/3/2018 1:00:00 PM,20,,period:,11/5/2018 1:00:00 PM,#faa525,,,12/3/2018 1:00:00 PM,20,Implementacja projektu
4,Implementacja projektu,,,,,,,symbol:,12/3/2018 1:00:00 PM,89,Kamienie milowe,,,,
4.1,Prosty serwer REST-owy,Piotr,,11/5/2018 1:00:00 PM,11/12/2018 1:00:00 PM,5,,period:,11/5/2018 1:00:00 PM,#71548c,Zadanie dla: Piotr,,11/12/2018 1:00:00 PM,5,
4.1,Prosty serwer REST-owy,Piotr,,,,,,symbol:,11/12/2018 1:00:00 PM,6,Zadanie krytyczne,,,,
